wavelength (nm),n_o,k_o,n_e,k_e
599.4013847,2.93397,0.077169,2.642457,0.054407
600.9947653,2.932605,0.076887,2.641285,0.054271
602.5881466,2.931255,0.076608,2.64013,0.054137
604.1814608,2.92992,0.076331,2.63899,0.054007
605.7746397,2.9286,0.076057,2.637866,0.053878
607.3676145,2.927295,0.075785,2.636756,0.053752
608.9606144,2.926003,0.075516,2.635662,0.053627
610.5538745,2.924726,0.07525,2.634582,0.053504
612.1467285,2.923462,0.074985,2.633516,0.053383
613.7394087,2.922212,0.074723,2.632465,0.053263
615.3321525,2.920976,0.074463,2.631428,0.053143
616.9252032,2.919752,0.074204,2.630404,0.053025
618.5175756,2.918542,0.073948,2.629394,0.052907
620.1101256,2.917345,0.073694,2.628397,0.05279
621.7027922,2.916159,0.073442,2.627413,0.052673
623.2952006,2.914987,0.073191,2.626442,0.052556
624.8875986,2.913826,0.072942,2.625483,0.05244
626.4799236,2.912678,0.072695,2.624537,0.052323
628.0721119,2.911541,0.072449,2.623602,0.052205
629.6644192,2.910416,0.072205,2.622679,0.052088
631.2564643,2.909303,0.071963,2.621767,0.051969
632.8485048,2.9082,0.071722,2.620867,0.05185
634.4404796,2.907109,0.071482,2.619977,0.05173
636.0323269,2.906028,0.071243,2.619098,0.051609
637.6239843,2.904958,0.071006,2.618229,0.051487
639.2157185,2.903899,0.07077,2.61737,0.051363
640.8074707,2.90285,0.070536,2.616521,0.051238
642.3991818,2.901811,0.070302,2.61568,0.051112
643.9904573,2.900781,0.07007,2.614849,0.050984
645.5819043,2.899761,0.069839,2.614025,0.050855
647.1734667,2.898751,0.069609,2.61321,0.050725
648.7647483,2.89775,0.06938,2.612403,0.050594
650.3556871,2.896759,0.069152,2.611603,0.050462
651.9469058,2.895776,0.068926,2.610811,0.050329
653.5380068,2.894802,0.0687,2.610026,0.050195
655.128931,2.893836,0.068476,2.609248,0.05006
656.719967,2.89288,0.068254,2.608477,0.049925
658.3107102,2.891932,0.068032,2.607713,0.049789
659.9014514,2.890992,0.067812,2.606955,0.049652
661.4921344,2.89006,0.067593,2.606203,0.049515
663.0827028,2.889136,0.067375,2.605458,0.049378
664.6730994,2.888221,0.067158,2.604719,0.04924
666.2636247,2.887313,0.066943,2.603986,0.049102
667.8538657,2.886413,0.066729,2.603259,0.048964
669.4441253,2.88552,0.066516,2.602538,0.048825
671.0343494,2.884635,0.066305,2.601822,0.048687
672.6244834,2.883758,0.066094,2.601112,0.048548
674.2144721,2.882887,0.065885,2.600407,0.048409
675.80426,2.882024,0.065677,2.599708,0.048271
677.3941609,2.881168,0.065471,2.599014,0.048132
678.9841234,2.880319,0.065265,2.598325,0.047994
680.5737221,2.879478,0.065061,2.597641,0.047856
682.1632746,2.878642,0.064859,2.596962,0.047718
683.7527279,2.877814,0.064657,2.596288,0.04758
685.3424075,2.876992,0.064457,2.595618,0.047443
686.9315036,2.876177,0.064258,2.594954,0.047306
688.5207213,2.875369,0.06406,2.594294,0.04717
690.1100109,2.874566,0.063864,2.593639,0.047034
691.6993224,2.873771,0.063669,2.592988,0.046898
693.2882176,2.872981,0.063475,2.592342,0.046764
694.8770298,2.872198,0.063282,2.591701,0.046629
696.4660986,2.87142,0.063091,2.591063,0.046495
698.0545914,2.870649,0.062901,2.59043,0.046362
699.6432403,2.869884,0.062712,2.589801,0.04623
701.2319977,2.869125,0.062524,2.589177,0.046098
702.8204173,2.868371,0.062338,2.588556,0.045968
704.4088455,2.867623,0.062153,2.58794,0.045837
705.9972337,2.866881,0.061969,2.587327,0.045708
707.5855326,2.866145,0.061786,2.586719,0.04558
709.1736925,2.865414,0.061605,2.586115,0.045452
