wavelength (nm),n_o,k_o,n_e,k_e
674.300415,2.194371,1.034463,1.897215,0.685671
675.890503,2.19209,1.036364,1.891797,0.690403
677.480591,2.189761,1.038315,1.886443,0.695178
679.070557,2.187387,1.040317,1.881154,0.699993
680.660461,2.184968,1.042372,1.875929,0.704847
682.250305,2.182506,1.044482,1.870769,0.709738
683.839966,2.180004,1.046649,1.865672,0.714662
685.429626,2.177462,1.048873,1.860639,0.719618
687.019165,2.174884,1.051156,1.855669,0.724605
688.608643,2.17227,1.053499,1.850761,0.729618
690.198059,2.169623,1.055904,1.845916,0.734659
691.787354,2.166944,1.058372,1.841131,0.739722
693.376587,2.164235,1.060903,1.836407,0.744808
694.965698,2.161499,1.0635,1.831743,0.749914
696.554688,2.158737,1.066162,1.827139,0.755039
698.143677,2.155951,1.068891,1.822592,0.76018
699.732544,2.153143,1.071687,1.818103,0.765336
701.321289,2.150316,1.074553,1.81367,0.770505
702.910034,2.14747,1.077487,1.809293,0.775687
704.498596,2.144609,1.080491,1.804971,0.780878
706.087097,2.141734,1.083565,1.800702,0.786079
707.675537,2.138847,1.086711,1.796485,0.791286
709.263855,2.13595,1.089928,1.79232,0.7965
